"Mass","MolForm","Count"
"200.092796017419","C9H15O4N","1988627.8"
"200.805428271345",NA,"2403188.3"
"200.875657834751",NA,"1709437.6"
"200.922059190907",NA,"2259843.8"
"200.932185461006","C6H2O4S2","3468677.3"
"200.93794587064",NA,"2259078"
"200.989182711731",NA,"1676172.8"
"201.040431265132","C8H10O6","1660563.5"
"201.076812231104","C9H14O5","9568152"
"201.088041786092","C8H14O4N2","1260953.8"
"201.113196944252","C10H18O4","21941148"
"201.149578211959","C11H22O3","2327969.8"
"201.802013912371",NA,"21550070"
"201.99120766688",NA,"1157901.8"
"202.05091227397","C11H9O3N","1290005.3"
"202.072056785429","C8H13O5N","4536344"
"202.108438580329","C9H17O4N","2515996.5"
"202.828284674746",NA,"6955125"
"202.932298333315",NA,"2091649.4"
"202.978202838501",NA,"2131335"
"203.056088073855","C8H12O6","2561168.3"
"203.092453588257","C9H16O5","6304916.5"
"203.128837832673","C10H20O4","2741657"
"203.799070094314",NA,"1697767.5"
"204.066588592769","C11H11O3N","16225542"
"204.747383343622",NA,"1155026.8"
"204.825338329813",NA,"7138651.5"
"204.970716501154",NA,"8609131"
"205.014218786201","C10H6O5","1457392.3"
"205.05059474712","C11H10O4","1447796.1"
"205.123335205715","C13H18O2","1386236.1"
"205.474579334442",NA,"1149218.1"
"206.082231146239","C11H13O3N","1247202.6"
"206.822385734943",NA,"2725935"
"206.869897198844",NA,"48545332"
"206.872739455197",NA,"1283124.1"
"206.967806769302",NA,"2839613.8"
"207.012110279783","C10H8O3S","1487426.3"
"207.029870854621","C10H8O5","1565508.1"
"207.066249021166","C11H12O4","1366023.8"
"207.139023484778","C13H20O2","1679695.1"
"207.401671384851",NA,"1141929.4"
"208.074577289772",NA,"2028203.6"
"208.845231900347",NA,"12467958"
"208.866942508854",NA,"33443576"
"208.934578888928",NA,"8849150"
"209.009120706343","C9H6O6","4818181"
"209.045511357618","C10H10O5","2912776.5"
"209.081898098492","C11H14O4","2191372"
"209.154680339789","C13H22O2","1383570.9"
"210.040762393522","C9H9O5N","1632357.1"
"210.842298172441",NA,"20146094"
"210.863999138701",NA,"6600623.5"
"210.931654596811",NA,"3657141.8"
"211.024787422472","C9H8O6","6535102"
"211.061173644796","C10H12O5","3920833.5"
"211.097554978113","C11H16O4","12076997"
"211.108786213217","C10H16O3N2","2185413.8"
"211.133937736522","C12H20O3","5831112"
"212.020018214938","C8H7O6N","4855830"
"212.056422887594","C9H11O5N","1760537.4"
"212.78568596893",NA,"1332824.9"
"212.839342256102",NA,"9003102"
"212.859839601995",NA,"1555167.4"
"212.874290777643",NA,"2214240.5"
"212.886306175144",NA,"19152994"
"212.886845377813",NA,"217915488"
"212.950792200831",NA,"1614055.3"
"212.979181491172",NA,"2227817.8"
"213.015277479573","C7H6O6N2","3300460.8"
"213.016904626957",NA,"3384941"
"213.040428460985","C9H10O6","1623406.9"
"213.076821569167","C10H14O5","7402610"
"213.088048189426","C9H14O4N2","1166195"
"213.113209153546","C11H18O4","16005237"
"213.124441853073","C10H18O3N2","4211318"
"213.149580605995","C12H22O3","2925176.3"
"213.963777275627","C7H5O3NS2","1377214.1"
"214.050931022372","C12H9O3N","17950918"
"214.108465571565","C10H17O4N","2531530.5"
"214.144827458405","C11H21O3N","1468109.6"
"214.836392930714",NA,"2409224.5"
"214.877753833402",NA,"1283596"
"214.880834167547",NA,"1456780.3"
"214.883895382543",NA,"110600464"
"214.891785679337",NA,"2227725.3"
"214.934886885427",NA,"2052368.9"
"215.001935810972","C8H8O5S","1676310.5"
"215.032761523618",NA,"3627289.3"
"215.05607855856","C9H12O6","2583323.3"
"215.092472606394","C10H16O5","9736478"
"215.103694517233","C9H16O4N2","1347871.1"
"215.128844637363","C11H20O4","15092001"
"215.165239431532","C12H24O3","2390564.5"
"216.124095214762","C10H19O4N","4031861.8"
"216.88092862652",NA,"16640438"
"216.927911016584",NA,"25608634"
"216.928444449029",NA,"288858560"
"216.932859219798",NA,"2665658.5"
"217.071743109364","C9H14O6","2587590.3"
"217.108116925935","C10H18O5","7931337.5"
"217.144496656615","C11H22O4","2803916.5"
"217.932614015764",NA,"1203472.1"
"218.103370495108","C9H17O5N","6419999"
"218.379301717879",NA,"1148982.6"
"218.89868420603",NA,"1835619.8"
"218.932653482931",NA,"4613734.5"
"218.986170237621",NA,"6161003.5"
"219.029882278359","C11H8O5","1208943.3"
"219.040529367726",NA,"1538416.1"
"219.077490658777","C11H12O3N2","1264115.4"
"219.087387684542","C9H16O6","2358388.3"
"219.139026465122","C14H20O2","1596792.8"
"219.946520146949",NA,"1392320"
"220.061480308079","C11H11O4N","2003402.3"
"220.146855486853",NA,"6036178"
"220.942886712935",NA,"5266714"
"220.998678850345",NA,"10286879"
"221.009125917917","C10H6O6","1327391.9"
"221.045519148712","C11H10O5","1900835.1"
"221.05858606463",NA,"1982116.4"
"221.081891220993","C12H14O4","60924712"
"221.150212886269",NA,"1229356.8"
"221.15467759026","C14H22O2","13400877"
"221.352174024385",NA,"1217983.3"
"221.834422358255",NA,"4480876"
"221.845357752755",NA,"1530477"
"222.09020962229",NA,"9301892"
"222.950238026828",NA,"43795416"
"222.995733993209",NA,"3910618.5"
"223.024793149015","C10H8O6","3240925.3"
"223.061152325181","C11H12O5","3078112.8"
"223.074229068466",NA,"4261346"
"223.097560476044","C12H16O4","8084452.5"
"223.133954616791","C13H20O3","2173928"
"223.831475147639",NA,"2582828.8"
"223.84240146699",NA,"1192109.8"
"223.94980546401",NA,"3292728.5"
"224.056423283216","C10H11O5N","1229763.3"
"224.087267060683",NA,"2256454.3"
"224.842640281352",NA,"1472147.5"
"224.914255292423",NA,"2715803"
"224.947309353375",NA,"10458270"
"225.004032134366","C9H6O7","4694692.5"
"225.040449425761","C10H10O6","1840040.1"
"225.055714870951","C14H10O3","1708457.8"
"225.076819499069","C11H14O5","2706604"
"225.113187324246","C12H18O4","7213232"
"225.149604088393","C13H22O3","2239155.5"
"225.946847330671",NA,"1174024.6"
"226.012200348175",NA,"1455375.8"
"226.971301085661",NA,"1347066.3"
"227.032600170147","C6H13O7P","27235714"
"227.056078968671","C10H12O6","1415811.9"
"227.092465961673","C11H16O5","7772552"
"227.103708123404","C10H16O4N2","3494793.3"
"227.128872213729","C12H20O4","16233868"
"227.140102377895","C11H20O3N2","11535757"
"228.051311604285","C9H11O6N","1389047.8"
"228.124124742291","C11H19O4N","1684992.5"
"228.160509533819","C12H23O3N","3037188.8"
"228.851856687166",NA,"33347160"
"228.860792673212",NA,"3522138"
"228.939182399801",NA,"1185123.8"
"228.950623772795",NA,"1361765.1"
"229.024894259558",NA,"1847150.4"
"229.050598951257","C13H10O4","1296881.6"
"229.071741258755","C10H14O6","4431988"
"229.083004561878","C9H14O5N2","2165365.8"
"229.108115116444","C11H18O5","7716473"
"229.144519996425","C12H22O4","16264829"
"229.155740961779","C11H22O3N2","1860478.8"
"229.180912594677","C13H26O3","5028482"
"230.103390855762","C10H17O5N","2249464.3"
"230.139762503788","C11H21O4N","1369341.1"
"230.848894962708",NA,"22931292"
"230.850150938272",NA,"4365660"
"230.857860673997",NA,"2440029.3"
"230.929826364403",NA,"1349735.1"
"231.033265296901","C9H12O5S","1290997.3"
"231.05101195753","C9H12O7","1421943.8"
"231.079333565643",NA,"1174907.6"
"231.087383471431","C10H16O6","5705596.5"
"231.098634563386","C9H16O5N2","1256574.3"
"231.123754306216","C11H20O5","7170946"
"231.150163688163",NA,"1161029.4"
"231.160163006086","C12H24O4","1325446.8"
"232.093882228189","C8H15O5N3","1572619"
"232.119021471042","C10H19O5N","1323022.6"
"232.845959346788",NA,"4163706"
"232.847237498821",NA,"3089530.3"
"232.902383020769",NA,"8766594"
"232.92468108489",NA,"3705477.8"
"232.927791165588",NA,"1602182.4"
"233.009146328913","C11H6O6","1462162.6"
"233.045530744435","C12H10O5","1586072.1"
"233.05618899739",NA,"2070681.8"
"233.066675889465","C9H14O7","1339931.4"
"233.081920778568","C13H14O4","1208221.6"
"233.103048775553","C10H18O6","8068257"
"233.114276552429","C9H18O5N2","1850274.6"
"233.118284192922","C14H18O3","1289123.3"
"233.154684480267","C15H22O2","31705256"
"234.864823291608",NA,"1202359.6"
"234.868810643857",NA,"54020536"
"234.913672278393",NA,"6037951.5"
"234.998996877141",NA,"1237453.8"
"235.024791246263","C11H8O6","1694674"
"235.061187254299","C12H12O5","1375192"
"235.074240084576",NA,"3562970.3"
"235.097574871721","C13H16O4","2349534"
"235.133940754073","C14H20O3","1592420.1"
"235.14699720317",NA,"1313766.3"
"235.170349200424","C15H24O2","2107114"
"236.056441210259","C11H11O5N","1397120.1"
"236.105381468175",NA,"13851273"
"236.865835602516",NA,"30534414"
"236.965896893828",NA,"57649952"
"237.04044214943","C11H10O6","2171181"
"237.053483132313",NA,"1397807.3"
"237.063025476464","C9H10O4N4","1312816.9"
"237.076835148844","C12H14O5","2368819.5"
"237.089878681132",NA,"2695989.8"
"237.108746274048",NA,"2203449"
"237.113222661535","C13H18O4","2807098"
"237.149610225685","C14H22O3","1694784.4"
"237.965476866205",NA,"5801941"
"238.035669565322","C10H9O6N","1179938"
"238.072065454105","C11H13O5N","1838568.8"
"238.466196098546",NA,"1230258.3"
"238.862909329753",NA,"5309565.5"
"238.910804706866",NA,"1398406.5"
"238.956001339544",NA,"2598031"
"238.962964376598","C13H4OS2","18095248"
"239.019722068048","C10H8O7","2203803.3"
"239.034988337925","C14H8O4","1799070.3"
"239.056111749827","C11H12O6","3210402.3"
"239.067335160005","C10H12O5N2","3188388.5"
"239.086974340905",NA,"1299624.3"
"239.092497043343","C12H16O5","5891241"
"239.128875334313","C13H20O4","31804592"
"239.165257144449","C14H24O3","2423735.3"
"239.760388253115",NA,"1899562.8"
"239.962533060119",NA,"2020690.5"
"240.043317759535",NA,"1621346.5"
"240.10083139872",NA,"3997037.8"
"240.953047915937",NA,"2235416.8"
"240.959824378284",NA,"1520922.3"
"241.03537000793","C10H10O7","1225001.6"
"241.04661948641","C9H10O6N2","27012652"
"241.05062986773","C14H10O4","1291564.8"
"241.071742177286","C11H14O6","3763761"
"241.083114383164","C10H14O5N2","1446067.4"
"241.108108701126","C12H18O5","9430584"
"241.119391818517","C11H18O4N2","2950714.8"
"241.136462002825",NA,"32603710"
"241.144500716867","C13H22O4","12910144"
"241.180915552912","C14H26O3","5885511.5"
"241.757451400266",NA,"2715326.3"
"241.758342075002",NA,"2519230.5"
"241.928460938346",NA,"2463970"
"242.067003394095","C10H13O6N","2723071"
"242.082229866531","C14H13O3N","1513986.1"
"242.097843271528",NA,"1588229.4"
