"Mass","MolForm","Count"
"200.780592045608",NA,"1333946.6"
"200.805428271345",NA,"8633532"
"201.040431265132","C8H10O6","2617037.3"
"201.076812231104","C9H14O5","6013136"
"201.113196944252","C10H18O4","8174802.5"
"201.124417891011","C9H18O3N2","3545811.3"
"201.802013912371",NA,"107617536"
"202.108438580329","C9H17O4N","1732500.5"
"202.646058077172",NA,"1232181.5"
"202.802471324132",NA,"2833214.8"
"202.828284674746",NA,"9726272"
"203.056088073855","C8H12O6","5124429.5"
"203.082559275179","C11H12O2N2","1574734.8"
"203.092453588257","C9H16O5","5018959.5"
"203.128837832673","C10H20O4","2152273.5"
"203.604349546328",NA,"1320555.5"
"203.799070094314",NA,"8739190"
"204.066588592769","C11H11O3N","2566275.5"
"204.791499231469",NA,"2376103"
"204.825338329813",NA,"12112297"
"205.071728897906","C8H14O6","1663411.9"
"206.788549981515",NA,"1222522.5"
"206.789446351356",NA,"1600762.6"
"206.791900751453",NA,"2383354.8"
"206.822385734943",NA,"5667836"
"206.910023102085",NA,"2719487"
"207.012110279783","C10H8O3S","1645570.8"
"207.527878236451",NA,"1156309"
"208.786517163326",NA,"1194173.4"
"208.788974580722",NA,"1702589.5"
"208.789873925301",NA,"2623037.5"
"208.819431651324",NA,"1923902.4"
"208.845231900347",NA,"15304255"
"208.907090567679",NA,"1454401"
"208.925701495454",NA,"1248449.6"
"209.009120706343","C9H6O6","2639428"
"209.045511357618","C10H10O5","2252613"
"209.081898098492","C11H14O4","1221702.1"
"209.154680339789","C13H22O2","3563592.3"
"210.07714085529","C10H13O4N","1315553.8"
"210.786912033811",NA,"2467188"
"210.842298172441",NA,"22681206"
"211.024787422472","C9H8O6","2041722"
"211.061173644796","C10H12O5","2380154.8"
"211.097554978113","C11H16O4","3330683.8"
"211.133937736522","C12H20O3","4619900.5"
"211.80213106176",NA,"2250636.5"
"212.020018214938","C8H7O6N","1547921.5"
"212.839342256102",NA,"13182628"
"212.979181491172",NA,"8648359"
"213.040428460985","C9H10O6","1259688.4"
"213.076821569167","C10H14O5","5509289"
"213.113209153546","C11H18O4","5265578"
"213.124441853073","C10H18O3N2","2462634.3"
"213.149580605995","C12H22O3","1997226.9"
"213.736057113944",NA,"1155767.6"
"214.050931022372","C12H9O3N","4641470.5"
"214.072073921271","C9H13O5N","2254526.8"
"214.108465571565","C10H17O4N","1540543.6"
"214.836392930714",NA,"2881487.3"
"215.034942419396","C12H8O4","1444563.6"
"215.05607855856","C9H12O6","4357332"
"215.092472606394","C10H16O5","6860501"
"215.128844637363","C11H20O4","18185942"
"215.140080494138","C10H20O3N2","1434325.9"
"215.165239431532","C12H24O3","1702870.4"
"215.513342184828",NA,"1282206"
"216.124095214762","C10H19O4N","2128875.5"
"216.70440221408",NA,"1145272.8"
"217.071743109364","C9H14O6","6278913.5"
"217.108116925935","C10H18O5","6505218"
"218.103370495108","C9H17O5N","9184027"
"218.986170237621",NA,"22409010"
"219.077490658777","C11H12O3N2","1325876.6"
"219.087387684542","C9H16O6","3033652.8"
"220.146855486853",NA,"3214164"
"220.915767345422",NA,"1182956.9"
"221.081891220993","C12H14O4","53960564"
"221.093149270158","C11H14O3N2","1463922.9"
"221.15467759026","C14H22O2","12681077"
"222.077139882514","C11H13O4N","2446486.5"
"222.09020962229",NA,"4695959"
"222.85811550993",NA,"1353141.9"
"222.922761067648",NA,"1541048.6"
"222.941326676962",NA,"2368953.5"
"222.950238026828",NA,"6454202"
"222.977959682087",NA,"1194171"
"223.024793149015","C10H8O6","2285501"
"223.061152325181","C11H12O5","1452222.5"
"223.074229068466",NA,"3115455"
"223.097560476044","C12H16O4","3163584"
"223.133954616791","C13H20O3","2300097.8"
"224.056423283216","C10H11O5N","1344235.8"
"224.819194623245",NA,"1527569.9"
"224.855177805337",NA,"1283091.8"
"224.913896382187",NA,"2726935"
"224.947309353375",NA,"1691800.6"
"225.004032134366","C9H6O7","1915163.6"
"225.040449425761","C10H10O6","1546781.6"
"225.055714870951","C14H10O3","1858846.5"
"225.071293913514",NA,"1323551.3"
"225.076819499069","C11H14O5","2387999.5"
"225.113187324246","C12H18O4","3476001.5"
"225.149604088393","C13H22O3","2677283.5"
"226.072077046101","C10H13O5N","1912152.3"
"226.81621863157",NA,"1928326.8"
"226.891811511847",NA,"1192459.8"
"226.910943768481",NA,"1296397"
"226.971301085661",NA,"1232273"
"227.056078968671","C10H12O6","1803670.6"
"227.092465961673","C11H16O5","4871321"
"227.103708123404","C10H16O4N2","1863065.8"
"227.128872213729","C12H20O4","9820316"
"227.140102377895","C11H20O3N2","4999324.5"
"228.888874024644",NA,"1474461.6"
"229.024894259558",NA,"2739240.8"
"229.050598951257","C13H10O4","1185450.8"
"229.071741258755","C10H14O6","7369004.5"
"229.108115116444","C11H18O5","7058735.5"
"229.144519996425","C12H22O4","8589618"
"229.155740961779","C11H22O3N2","10772787"
"229.180912594677","C13H26O3","1284021.5"
"230.005229782116",NA,"1233404.9"
"230.139762503788","C11H21O4N","1298441.1"
"230.393800115083",NA,"1167136.6"
"230.824771374485",NA,"1397705.9"
"231.05101195753","C9H12O7","2474464.3"
"231.087383471431","C10H16O6","12554724"
"231.123754306216","C11H20O5","5538279.5"
"231.135026698927","C10H20O4N2","5051368.5"
"232.093882228189","C8H15O5N3","2051661.3"
"232.821885606294",NA,"1352607.6"
"233.012510339403","C8H10O6S","6812342"
"233.045530744435","C12H10O5","1257274"
"233.05618899739",NA,"1220027.3"
"233.058589040756",NA,"1694395.5"
"233.066675889465","C9H14O7","2010044.5"
"233.103048775553","C10H18O6","24306368"
"233.114276552429","C9H18O5N2","1590210.1"
"233.154684480267","C15H22O2","13820615"
"235.024791246263","C11H8O6","1454647.6"
"235.072409455568","C11H12O4N2","3425726.3"
"235.074240084576",NA,"1800638.4"
"235.097574871721","C13H16O4","2112961.8"
"235.10880916231","C12H16O3N2","1501123.1"
"235.118727180867","C10H20O6","1164868.5"
"236.105381468175",NA,"16507985"
"236.965896893828",NA,"15432915"
"237.04044214943","C11H10O6","1669086.5"
"237.053483132313",NA,"2406368.5"
"237.076835148844","C12H14O5","1871588.1"
"237.089878681132",NA,"1827558.1"
"237.108746274048",NA,"2421225"
"237.113222661535","C13H18O4","2403049.8"
"237.126288941505",NA,"1271019.9"
"237.149610225685","C14H22O3","1383919.5"
"237.965476866205",NA,"1619825.6"
"238.121556498653",NA,"1570187.1"
"238.929556190679",NA,"1169554.6"
"238.962964376598","C13H4OS2","5067288.5"
"239.019722068048","C10H8O7","1432354.1"
"239.034988337925","C14H8O4","1744676.8"
"239.050589942199",NA,"1286439.4"
"239.056111749827","C11H12O6","1543464.4"
"239.067335160005","C10H12O5N2","1364010.3"
"239.092497043343","C12H16O5","3145262.5"
"239.105565313133",NA,"1238320.9"
"239.128875334313","C13H20O4","31831604"
"239.165257144449","C14H24O3","2250811.3"
"239.322167380242",NA,"1230166.4"
"239.760388253115",NA,"16696996"
"240.10083139872",NA,"1726176.5"
"240.379662745021",NA,"1257107.1"
"241.03537000793","C10H10O7","1677196.5"
"241.04661948641","C9H10O6N2","6458254.5"
"241.071742177286","C11H14O6","3764627.3"
"241.108108701126","C12H18O5","5818266"
"241.119391818517","C11H18O4N2","2212508.3"
"241.136462002825",NA,"53225376"
"241.144500716867","C13H22O4","7664545"
"241.180915552912","C14H26O3","3202472"
"241.757451400266",NA,"17534998"
"241.758342075002",NA,"17725462"
"241.78863450246",NA,"1164828.1"
"242.067003394095","C10H13O6N","3518546.3"
"242.139774985264","C12H21O4N","9992288"
"242.176146484794","C13H25O3N","9361512"
"242.821249642726",NA,"1967079.9"
"242.876834726603",NA,"4279539"
"243.033276751001","C10H12O5S","1179666.6"
"243.051022355256","C10H12O7","2296598.3"
"243.087381596419","C11H16O6","9480478"
"243.123762567035","C12H20O5","11215141"
"243.133514748991",NA,"19847462"
"243.160166460746","C13H24O4","8674604"
"243.196588271639","C14H28O3","2707251.8"
"243.754523804255",NA,"6473126.5"
"243.755390487252",NA,"20531622"
"244.012698188195",NA,"1175900.5"
"244.130279846518","C10H19O4N3","4003829.3"
"244.136867466335",NA,"3168246.8"
"244.155456222866","C12H23O4N","1346810.5"
"244.174793960622",NA,"1296254.6"
"244.809394546376",NA,"1483653.8"
"244.818316104302",NA,"2720391.8"
"244.87389114971",NA,"2699411.8"
"245.04891188695","C10H14O5S","1439545.5"
"245.056227948862",NA,"1278395"
"245.066684736377","C10H14O7","6255293.5"
"245.103064150889","C11H18O6","15239877"
"245.114277610919","C10H18O5N2","4436167.5"
"245.139434182554","C12H22O5","5554893"
"245.446676763274",NA,"1215120.3"
"245.752435630821",NA,"5928787.5"
"246.001731772521",NA,"1319947"
