"Mass","MolForm","Count"
"200.048348949426",NA,"1196527.9"
"200.092796017419","C9H15O4N","2508594.3"
"200.12917230768","C10H19O3N","2581300.3"
"200.805428271345",NA,"4603223"
"200.93794587064",NA,"2258269.3"
"201.040431265132","C8H10O6","2960482.3"
"201.076812231104","C9H14O5","9331556"
"201.088041786092","C8H14O4N2","1657700.5"
"201.113196944252","C10H18O4","19821414"
"201.124417891011","C9H18O3N2","12530534"
"201.149578211959","C11H22O3","2787175.3"
"201.802013912371",NA,"45419396"
"202.072056785429","C8H13O5N","1836431.8"
"202.108438580329","C9H17O4N","4341137"
"202.802471324132",NA,"1156396"
"202.828284674746",NA,"16116653"
"203.056088073855","C8H12O6","3370421.3"
"203.092453588257","C9H16O5","7311286.5"
"203.103686813096","C8H16O4N2","1569078.9"
"203.128837832673","C10H20O4","3750839.8"
"203.799070094314",NA,"3360718"
"204.030208413899","C10H7O4N","1280725.3"
"204.066588592769","C11H11O3N","7815126.5"
"204.791499231469",NA,"1160811.3"
"204.825338329813",NA,"19801068"
"204.970716501154",NA,"3154416"
"205.014218786201","C10H6O5","1598449.1"
"205.05059474712","C11H10O4","2211314"
"205.071728897906","C8H14O6","1822194.6"
"206.791900751453",NA,"1354906"
"206.822385734943",NA,"8874011"
"206.869897198844",NA,"4076571.5"
"206.910023102085",NA,"1240476.4"
"206.967806769302",NA,"1340701.5"
"207.029870854621","C10H8O5","2382878.8"
"207.042906594798",NA,"1197855"
"207.066249021166","C11H12O4","1637151.4"
"207.102632074417","C12H16O3","1613088.1"
"208.074577289772",NA,"3579441.5"
"208.097890058785","C11H15O3N","1156786"
"208.789873925301",NA,"1700669.1"
"208.819431651324",NA,"2226237.5"
"208.842306812071",NA,"1141822"
"208.845231900347",NA,"49609792"
"208.866942508854",NA,"3297854.3"
"208.869856809598",NA,"1158654.4"
"208.934578888928",NA,"1618751.4"
"208.943425494404",NA,"1396287.5"
"209.009120706343","C9H6O6","4109888.5"
"209.045511357618","C10H10O5","4123201"
"209.081898098492","C11H14O4","2570305.5"
"209.118293639431","C12H18O3","1352130.1"
"209.154680339789","C13H22O2","3469890.8"
"209.241647667389",NA,"1166404"
"210.040762393522","C9H9O5N","1783375.5"
"210.071613852833",NA,"1600592"
"210.07714085529","C10H13O4N","1408080"
"210.842298172441",NA,"74202200"
"210.845205328945",NA,"1302490.5"
"211.024787422472","C9H8O6","5898845"
"211.061173644796","C10H12O5","4936285.5"
"211.097554978113","C11H16O4","10182750"
"211.108786213217","C10H16O3N2","2043742.1"
"211.133937736522","C12H20O3","6112350.5"
"212.020018214938","C8H7O6N","4699242.5"
"212.052340985669",NA,"1230890.9"
"212.056422887594","C9H11O5N","1269610.9"
"212.092817652485","C10H15O4N","1485035.4"
"212.839342256102",NA,"38653044"
"212.886845377813",NA,"22602870"
"212.979181491172",NA,"10764408"
"213.015277479573","C7H6O6N2","5064824.5"
"213.040428460985","C9H10O6","2888312.8"
"213.076821569167","C10H14O5","6885497"
"213.088048189426","C9H14O4N2","1485945.4"
"213.113209153546","C11H18O4","14070906"
"213.124441853073","C10H18O3N2","14333050"
"213.149580605995","C12H22O3","3158906.3"
"213.318044049167",NA,"1165052.6"
"214.035666826655","C8H9O6N","1953159.6"
"214.050931022372","C12H9O3N","17339528"
"214.072073921271","C9H13O5N","1384328.1"
"214.108465571565","C10H17O4N","2904712.8"
"214.144827458405","C11H21O3N","3171465.3"
"214.51105232342",NA,"1178511.3"
"214.836392930714",NA,"5786773"
"214.883895382543",NA,"11718806"
"214.934886885427",NA,"2233238.5"
"214.95958039049",NA,"1920919"
"215.001935810972","C8H8O5S","1628055.8"
"215.004832815648",NA,"2073239.8"
"215.05607855856","C9H12O6","3998872.8"
"215.092472606394","C10H16O5","9833625"
"215.103694517233","C9H16O4N2","1556889.5"
"215.128844637363","C11H20O4","14290074"
"215.140080494138","C10H20O3N2","5971098"
"215.165239431532","C12H24O3","2047130.6"
"215.461937343162",NA,"1150368.1"
"216.087726625296","C9H15O5N","2045868.5"
"216.124095214762","C10H19O4N","7205037.5"
"216.88092862652",NA,"1980349.9"
"216.932859219798",NA,"2231487.3"
"217.071743109364","C9H14O6","4715714.5"
"217.108116925935","C10H18O5","9240771"
"217.144496656615","C11H22O4","2975940.3"
"218.103370495108","C9H17O5N","9014493"
"218.122602953882",NA,"1213405.8"
"218.986170237621",NA,"18474232"
"219.029882278359","C11H8O5","1621753.1"
"219.040529367726",NA,"1514361.5"
"219.077490658777","C11H12O3N2","1179386.8"
"219.079302992212",NA,"1754106.8"
"219.087387684542","C9H16O6","2393851"
"219.098594989909","C8H16O5N2","1458811.4"
"220.061480308079","C11H11O4N","5055261.5"
"220.146855486853",NA,"7002400.5"
"220.998678850345",NA,"11842883"
"221.009125917917","C10H6O6","2724931.8"
"221.045519148712","C11H10O5","2613061.3"
"221.048890965922","C8H14O5S","1225477.4"
"221.05858606463",NA,"1860421.9"
"221.081891220993","C12H14O4","53837128"
"221.093149270158","C11H14O3N2","6320455.5"
"221.15467759026","C14H22O2","15084874"
"222.001965589311","C13H5ONS","1379825.9"
"222.09020962229",NA,"19467638"
"222.950238026828",NA,"14304676"
"222.959073413494",NA,"1274916.8"
"222.977959682087",NA,"1307685.8"
"222.995733993209",NA,"3646886.8"
"223.024793149015","C10H8O6","4465576.5"
"223.061152325181","C11H12O5","3453354.5"
"223.064543095163","C8H16O5S","1230506.8"
"223.074229068466",NA,"4800427.5"
"223.085488921909",NA,"1384876"
"223.093559737062","C7H16O6N2","2322604.5"
"223.097560476044","C12H16O4","6236588.5"
"223.110631671739",NA,"1307053.4"
"223.133954616791","C13H20O3","2363310.8"
"224.056423283216","C10H11O5N","1577703.5"
"224.087267060683",NA,"4961769.5"
"224.819194623245",NA,"1930779.6"
"224.913896382187",NA,"2171170.5"
"224.947309353375",NA,"3367460.8"
"225.004032134366","C9H6O7","3055145"
"225.040449425761","C10H10O6","2895403.5"
"225.076819499069","C11H14O5","3215406.3"
"225.088053486983","C10H14O4N2","1772847.1"
"225.093173624145",NA,"1176367.5"
"225.113187324246","C12H18O4","5393969"
"225.149604088393","C13H22O3","3457587.8"
"226.072077046101","C10H13O5N","1379068.1"
"226.144834015466","C12H21O3N","1321218.3"
"226.372769776115",NA,"1181269.5"
"226.81621863157",NA,"1975484.5"
"226.956008528303",NA,"5140169"
"226.971301085661",NA,"1237578.6"
"227.01968946285","C9H8O7","1380559"
"227.032420884783",NA,"1224784.1"
"227.056078968671","C10H12O6","2048466.4"
"227.092465961673","C11H16O5","8393430"
"227.103708123404","C10H16O4N2","5145815"
"227.128872213729","C12H20O4","14618329"
"227.140102377895","C11H20O3N2","39243484"
"228.051311604285","C9H11O6N","1318835.4"
"228.124124742291","C11H19O4N","2849083"
"228.160509533819","C12H23O3N","6945598.5"
"228.813292809898",NA,"1990020.9"
"228.851856687166",NA,"3167113.3"
