"Mass","MolForm","Count"
"200.08372135797",NA,"1157811.9"
"201.040431265132","C8H10O6","1215262.9"
"201.076812231104","C9H14O5","2379042.8"
"201.113196944252","C10H18O4","1764134.8"
"201.299338900161",NA,"1305210.8"
"201.682858491527",NA,"1153123.4"
"201.802013912371",NA,"3227759.8"
"202.354066023671",NA,"1171496"
"204.030208413899","C10H7O4N","1431367.9"
"204.791499231469",NA,"4862603.5"
"205.014218786201","C10H6O5","2147742.8"
"205.05059474712","C11H10O4","1131041.9"
"205.086977964246","C12H14O3","1305381"
"205.159757838433","C14H22O","3238571.3"
"206.788549981515",NA,"2355760"
"206.789446351356",NA,"4835632"
"207.029870854621","C10H8O5","2091842.6"
"207.229882998457",NA,"1210962"
"208.786517163326",NA,"2657476.8"
"209.009120706343","C9H6O6","2691796.5"
"209.045511357618","C10H10O5","2804695"
"209.081898098492","C11H14O4","1932761.6"
"209.229184557463",NA,"1178468"
"210.040762393522","C9H9O5N","1156763.8"
"211.024787422472","C9H8O6","3022429.5"
"211.061173644796","C10H12O5","3398239.8"
"211.097554978113","C11H16O4","3778658.3"
"211.133937736522","C12H20O3","1206628.6"
"211.801958007326",NA,"1245071.9"
"212.056422887594","C9H11O5N","1345440.3"
"212.092817652485","C10H15O4N","1149602.5"
"213.015277479573","C7H6O6N2","1620700.9"
"213.040428460985","C9H10O6","2620894.5"
"213.076821569167","C10H14O5","3000032.8"
"213.113209153546","C11H18O4","1732835"
"213.308589284804",NA,"1138031.3"
"213.483992154583",NA,"1135610.3"
"214.050931022372","C12H9O3N","1219485.5"
"214.144827458405","C11H21O3N","1235747.3"
"214.98812604609","C5H4O4N4S","1380695.4"
"215.05607855856","C9H12O6","2413403.5"
"215.092472606394","C10H16O5","2409821.8"
"215.128844637363","C11H20O4","1734496"
"216.710127457674",NA,"1179074"
"217.071743109364","C9H14O6","1738456.6"
"217.108116925935","C10H18O5","1227226.9"
"217.627508983876",NA,"1157243.6"
"217.855085121181",NA,"1311370"
"218.622375209771",NA,"1157563.1"
"219.029882278359","C11H8O5","1761877.6"
"219.066240733666","C12H12O4","1725528"
"220.297069840466",NA,"1220778.1"
"221.009125917917","C10H6O6","1843419.4"
"221.045519148712","C11H10O5","2803166"
"221.081891220993","C12H14O4","12109536"
"221.161566544596",NA,"1155814.1"
"222.09020962229",NA,"1900328.8"
"222.842244815288",NA,"1614816.9"
"223.024793149015","C10H8O6","3772782.8"
"223.061152325181","C11H12O5","3283825.8"
"223.097560476044","C12H16O4","1785716.5"
"224.056423283216","C10H11O5N","1975488"
"224.092781014289","C11H15O4N","1156290.9"
"225.004032134366","C9H6O7","2787086.5"
"225.040449425761","C10H10O6","4063249.5"
"225.076819499069","C11H14O5","4533780.5"
"225.113187324246","C12H18O4","1420439.9"
"226.072077046101","C10H13O5N","1271532.1"
"227.01968946285","C9H8O7","1524420.1"
"227.056078968671","C10H12O6","4507847.5"
"227.092465961673","C11H16O5","4984011"
"227.128872213729","C12H20O4","1659982.5"
"227.209866333963",NA,"1164694.4"
"227.314741929157",NA,"1152480.5"
"228.051311604285","C9H11O6N","1179049.6"
"228.160509533819","C12H23O3N","1330484.8"
"229.035349694013","C9H10O7","1857936.6"
"229.071741258755","C10H14O6","3421588.5"
"229.108115116444","C11H18O5","1827480.5"
"229.144519996425","C12H22O4","1850524.5"
"229.334979115743",NA,"1163505.3"
"231.029877682756","C12H8O5","1245685.5"
"231.05101195753","C9H12O7","1360632"
"231.087383471431","C10H16O6","1943932.5"
"231.815457302711",NA,"2049751.6"
"232.955704038244",NA,"1187438.9"
"233.009512828316",NA,"1188534.3"
"233.045530744435","C12H10O5","2152315.3"
"233.081920778568","C13H14O4","1795456.1"
"233.103048775553","C10H18O6","1195779.1"
"233.154684480267","C15H22O2","4007818.3"
"233.812513594405",NA,"1402855.1"
"233.813418331838",NA,"2157799.3"
"235.024791246263","C11H8O6","3285146.8"
"235.061187254299","C12H12O5","3426976.3"
"235.097574871721","C13H16O4","1380645.9"
"235.765931493304",NA,"1987342"
"235.810460444924",NA,"1331605"
"236.105381468175",NA,"1298500.1"
"236.965896893828",NA,"1633489"
"237.004057938512","C10H6O7","1306839.4"
"237.04044214943","C11H10O6","4119517.5"
"237.076835148844","C12H14O5","5693923.5"
"237.113222661535","C13H18O4","1512041.6"
"237.762990404493",NA,"2182744.3"
"237.76389438856",NA,"1210200.4"
