"Mass","MolForm","Count"
"200.727888316851",NA,"1135231.5"
"201.076812231104","C9H14O5","1652517.9"
"201.113196944252","C10H18O4","1584041.9"
"202.178138437305",NA,"1184153.6"
"203.034950586133","C11H8O4","1252334.4"
"203.092453588257","C9H16O5","1265651.9"
"204.61785280063",NA,"1192575.6"
"204.825338329813",NA,"1286417.6"
"205.014218786201","C10H6O5","2176289.8"
"205.05059474712","C11H10O4","2198565"
"205.086977964246","C12H14O3","1240872"
"205.159757838433","C14H22O","6595886"
"205.431185172741",NA,"1206725"
"205.78702971536",NA,"1181346.4"
"206.082953502428",NA,"1185402.4"
"207.029870854621","C10H8O5","2744772.5"
"207.066249021166","C11H12O4","2100167.3"
"208.845231900347",NA,"1317833.3"
"208.943425494404",NA,"1203408.1"
"209.009120706343","C9H6O6","1681236.6"
"209.045511357618","C10H10O5","3130455.3"
"209.081898098492","C11H14O4","2005849.8"
"210.721251377001",NA,"1249479.8"
"210.842298172441",NA,"2002639.6"
"211.024787422472","C9H8O6","2569435.5"
"211.061173644796","C10H12O5","4436190"
"211.097554978113","C11H16O4","2369760"
"211.103099792952",NA,"1160800.5"
"213.015277479573","C7H6O6N2","3242328.5"
"213.040428460985","C9H10O6","2646874.3"
"213.076821569167","C10H14O5","5072732.5"
"213.868181279032",NA,"1173004.9"
"214.050931022372","C12H9O3N","1559192"
"214.072073921271","C9H13O5N","1204761.3"
"215.05607855856","C9H12O6","3497941"
"215.092472606394","C10H16O5","2870231.3"
"215.128844637363","C11H20O4","1816793.4"
"217.050586552749","C12H10O4","1148750.6"
"217.071743109364","C9H14O6","1454159.9"
"217.108116925935","C10H18O5","1190354.1"
"219.029882278359","C11H8O5","1828811.4"
"219.10263094677","C13H16O3","1374672.1"
"221.009125917917","C10H6O6","2182992"
"221.028810107915",NA,"1146705.4"
"221.045519148712","C11H10O5","3527506.5"
"221.081891220993","C12H14O4","9075029"
"221.118286459105","C13H18O3","1509975.6"
"221.15467759026","C14H22O2","1837914.3"
"221.34158877839",NA,"1221351.4"
"221.857515583216",NA,"1212044.3"
"222.040748580681","C10H9O5N","1389977.6"
"222.09020962229",NA,"2139549.3"
"222.950238026828",NA,"2352093.5"
"222.959073413494",NA,"1755870.3"
"223.024793149015","C10H8O6","3793891.3"
"223.061152325181","C11H12O5","4350438"
"223.097560476044","C12H16O4","2201064.8"
"224.020013523278","C9H7O6N","1510449.8"
"224.056423283216","C10H11O5N","1400884.6"
"224.947092969128",NA,"1342206.8"
"225.004032134366","C9H6O7","3095683.8"
"225.040449425761","C10H10O6","5359751"
"225.076819499069","C11H14O5","5309578"
"225.113187324246","C12H18O4","2081165"
"226.072077046101","C10H13O5N","1537250.1"
"227.01968946285","C9H8O7","1568443.1"
"227.056078968671","C10H12O6","5370686.5"
"227.092465961673","C11H16O5","4311362"
"227.128872213729","C12H20O4","1158981.8"
"227.678552632068",NA,"1214332.3"
"229.035349694013","C9H10O7","2651659"
"229.071741258755","C10H14O6","4845071"
"229.108115116444","C11H18O5","1307411.1"
"229.144519996425","C12H22O4","2286871"
"230.066984637257","C9H13O6N","1178240.3"
"231.029877682756","C12H8O5","1784820.8"
"231.05101195753","C9H12O7","1875703.4"
"231.066259288635","C13H12O4","1249273.4"
"231.087383471431","C10H16O6","2269948"
"232.093882228189","C8H15O5N3","1404798.3"
"232.625181163713",NA,"1245894.4"
"233.009146328913","C11H6O6","2107132"
"233.045530744435","C12H10O5","3459073.3"
"233.081920778568","C13H14O4","2162182.3"
"233.154684480267","C15H22O2","10707473"
"233.311429166148",NA,"1244135.1"
"234.812539592873",NA,"1177095.9"
"235.024791246263","C11H8O6","4171049.3"
"235.061187254299","C12H12O5","5441839"
"235.074240084576",NA,"1196337"
"235.097574871721","C13H16O4","3211060.8"
"236.056441210259","C11H11O5N","1572815.8"
"236.105381468175",NA,"3956696"
"236.901221409318",NA,"1302878.3"
"236.965896893828",NA,"10236009"
"237.04044214943","C11H10O6","5293174.5"
"237.076835148844","C12H14O5","5820540.5"
"237.113222661535","C13H18O4","2818435"
"238.035669565322","C10H9O6N","1267110.1"
"238.072065454105","C11H13O5N","1631532.6"
"238.962964376598","C13H4OS2","2633168.5"
"239.019722068048","C10H8O7","3014619"
"239.056111749827","C11H12O6","6059490"
"239.067335160005","C10H12O5N2","11736548"
"239.092497043343","C12H16O5","5906920.5"
"239.128875334313","C13H20O4","7166447.5"
"240.05134480475","C10H11O6N","1372576.3"
"241.03537000793","C10H10O7","3859299.3"
"241.071742177286","C11H14O6","7454570.5"
"241.108108701126","C12H18O5","4119921.8"
"241.136462002825",NA,"41578360"
"242.067003394095","C10H13O6N","2199350.5"
"242.139774985264","C12H21O4N","6602822"
"242.176146484794","C13H25O3N","1412429.4"
"243.051022355256","C10H12O7","5941511"
"243.066250822538","C14H12O4","1352074.1"
"243.087381596419","C11H16O6","6171918.5"
"243.123762567035","C12H20O5","2381590.5"
"243.133514748991",NA,"16261401"
"243.160166460746","C13H24O4","1652510.4"
"244.136867466335",NA,"2628083.8"
"245.045558737924","C13H10O5","2455999.8"
"245.04891188695","C10H14O5S","1994432.5"
"245.066684736377","C10H14O7","3865796.5"
"245.081934244529","C14H14O4","2030536.1"
"245.103064150889","C11H18O6","2697932.8"
"245.118289566024","C15H18O3","1224912.4"
"245.52812001805",NA,"1356846.1"
"246.040784516619","C12H9O5N","1487140.9"
"246.109550881071","C9H17O5N3","2577333"
"247.024801042077","C12H8O6","3547789.3"
"247.061201110717","C13H12O5","3556502"
"247.072409804238","C12H12O4N2","1233176.5"
"247.074263164443",NA,"1318169"
"247.082336843181","C10H16O7","1367834.9"
"247.097594453292","C14H16O4","2196638.5"
"247.110625955868",NA,"1408417.8"
"247.118732964001","C11H20O6","1238563.6"
"248.056436095518","C12H11O5N","1587078.6"
"249.004063600746","C11H6O7","2148977"
"249.04046751717","C12H10O6","5266042"
"249.053522835028",NA,"1892221.3"
"249.076852687644","C13H14O5","5458563"
"249.089887662805",NA,"1416070.4"
"249.113222395913","C14H18O4","3703436.3"
"249.92932714633",NA,"1182426.3"
"250.072090034087","C12H13O5N","1577342.8"
"250.144861740769","C14H21O3N","1295761.3"
