"Mass","MolForm","Count"
"201.040431265132","C8H10O6","2097724.3"
"201.055567721246",NA,"1186877.9"
"201.076812231104","C9H14O5","3502144.3"
"201.113196944252","C10H18O4","1575748.1"
"202.980795393801","C10H4O3S","1203591.4"
"203.034950586133","C11H8O4","2099724.8"
"203.056088073855","C8H12O6","1990926.9"
"203.071320285592","C12H12O3","1725968.4"
"203.127853721924",NA,"1256854"
"205.014218786201","C10H6O5","2290375.5"
"205.05059474712","C11H10O4","3717066.8"
"205.086977964246","C12H14O3","2563790"
"205.123335205715","C13H18O2","1289553.1"
"205.159757838433","C14H22O","19055060"
"207.012110279783","C10H8O3S","1718387.3"
"207.029870854621","C10H8O5","3632244.8"
"207.066249021166","C11H12O4","3571319.8"
"207.102632074417","C12H16O3","1602426.6"
"208.943425494404",NA,"1308813.3"
"209.009120706343","C9H6O6","2367506.5"
"209.045511357618","C10H10O5","6207253"
"209.081898098492","C11H14O4","5261592"
"209.118293639431","C12H18O3","1536794.8"
"209.875681652495",NA,"1206868.6"
"210.040762393522","C9H9O5N","1946977"
"210.07714085529","C10H13O4N","1371235.8"
"210.423801108119",NA,"1174717.9"
"210.753201577547",NA,"1147414.4"
"211.024787422472","C9H8O6","4699050.5"
"211.061173644796","C10H12O5","10593197"
"211.097554978113","C11H16O4","4766128"
"211.230001360095",NA,"1203065.8"
"212.056422887594","C9H11O5N","2267126.5"
"212.3591730993",NA,"1292444.6"
"213.015277479573","C7H6O6N2","2415420.5"
"213.040428460985","C9H10O6","6684734.5"
"213.076821569167","C10H14O5","13241409"
"213.113209153546","C11H18O4","2109763.8"
"214.072073921271","C9H13O5N","1860233.8"
"215.05607855856","C9H12O6","11142354"
"215.092472606394","C10H16O5","6394069"
"215.128844637363","C11H20O4","1442775.6"
"217.035321129108","C8H10O7","1321959.4"
"217.050586552749","C12H10O4","2224232.5"
"217.071743109364","C9H14O6","3170154.3"
"217.086951767809","C13H14O3","1423467.4"
"217.108116925935","C10H18O5","1927021"
"218.165469840038",NA,"1145791.9"
"219.029882278359","C11H8O5","3040773.8"
"219.066240733666","C12H12O4","4000776.8"
"219.10263094677","C13H16O3","1564171.8"
"219.632847895948",NA,"1222135.9"
"220.061480308079","C11H11O4N","1397212.3"
"221.009125917917","C10H6O6","2715311.3"
"221.045519148712","C11H10O5","7436978.5"
"221.048890965922","C8H14O5S","1415474.6"
"221.081891220993","C12H14O4","9759414"
"221.118286459105","C13H18O3","1572536.9"
"221.15467759026","C14H22O2","1290556.1"
"222.040748580681","C10H9O5N","2256653.5"
"222.077139882514","C11H13O4N","1788432.9"
"222.09020962229",NA,"1968402.1"
"222.515481189722",NA,"1315322.6"
"222.575355904123",NA,"1196992.4"
"222.950238026828",NA,"1523044.9"
"223.024793149015","C10H8O6","5739372"
"223.061152325181","C11H12O5","10590064"
"223.07239550246","C10H12O4N2","1282160.9"
"223.097560476044","C12H16O4","5887859.5"
"223.133954616791","C13H20O3","1567095"
"223.556993216493",NA,"1198497.4"
"224.020013523278","C9H7O6N","1355345"
"224.056423283216","C10H11O5N","3394516.8"
"224.087267060683",NA,"1208024"
"224.309447616551",NA,"1176879.3"
"225.004032134366","C9H6O7","2804282"
"225.040449425761","C10H10O6","11941950"
"225.051660530905","C9H10O5N2","1238335.4"
"225.076819499069","C11H14O5","17438786"
"225.113187324246","C12H18O4","4436550"
"225.240321154917",NA,"1171284.3"
"226.035678481274","C9H9O6N","2143406.8"
"226.072077046101","C10H13O5N","3023539"
"227.01968946285","C9H8O7","2758436.8"
"227.056078968671","C10H12O6","16202025"
"227.092465961673","C11H16O5","12097838"
"227.128872213729","C12H20O4","1960754.3"
"228.051311604285","C9H11O6N","2081191.9"
"228.435240773795",NA,"1177178.9"
"229.035349694013","C9H10O7","4865068.5"
"229.071741258755","C10H14O6","14897714"
"229.108115116444","C11H18O5","3979318.8"
"229.144519996425","C12H22O4","1622332"
"230.718564716767",NA,"1163682.8"
"231.029877682756","C12H8O5","2304851"
"231.033265296901","C9H12O5S","1235539.5"
"231.05101195753","C9H12O7","4274006.5"
"231.066259288635","C13H12O4","2649944.8"
"231.087383471431","C10H16O6","5721436"
"231.102599817031","C14H16O3","1235806.4"
"232.281369117847",NA,"1189662.3"
"233.009146328913","C11H6O6","1995675.4"
"233.045530744435","C12H10O5","6059169.5"
"233.058589040756",NA,"1503524"
"233.066675889465","C9H14O7","1535653.5"
"233.081920778568","C13H14O4","3937960.3"
"233.103048775553","C10H18O6","1179435.9"
"233.118284192922","C14H18O3","1748910.6"
"233.154684480267","C15H22O2","11637941"
"233.16392381541",NA,"1249462.6"
"234.040744475635","C11H9O5N","2333525.3"
"234.077125808059","C12H13O4N","1712988.1"
"234.196769770097",NA,"1179250.4"
"235.024791246263","C11H8O6","5969424"
"235.037830846665",NA,"1878546.5"
"235.061187254299","C12H12O5","10234391"
"235.074240084576",NA,"2179865.5"
"235.097574871721","C13H16O4","5473822"
"235.133940754073","C14H20O3","1643557.1"
"236.020045700588","C10H7O6N","1545685.6"
"236.056441210259","C11H11O5N","2973917"
"236.105381468175",NA,"2036710.9"
"236.965896893828",NA,"7228313.5"
"237.004057938512","C10H6O7","1769633.6"
"237.04044214943","C11H10O6","12748713"
"237.051640220592","C10H10O5N2","1551659.8"
"237.076835148844","C12H14O5","12539825"
"237.089878681132",NA,"1580467.8"
"237.113222661535","C13H18O4","6057913"
"238.035669565322","C10H9O6N","2696320.5"
"238.072065454105","C11H13O5N","3353224.5"
"238.962964376598","C13H4OS2","1388752.4"
"239.019722068048","C10H8O7","5295453.5"
"239.056111749827","C11H12O6","15337830"
"239.067335160005","C10H12O5N2","5252456"
"239.092497043343","C12H16O5","14731630"
"239.128875334313","C13H20O4","9742710"
"239.165257144449","C14H24O3","1217150.6"
"239.483169774358",NA,"1187272.1"
"240.05134480475","C10H11O6N","2737229.5"
"240.087731859761","C11H15O5N","2112342"
"240.288108790789",NA,"1286021.8"
"241.03537000793","C10H10O7","10265402"
"241.071742177286","C11H14O6","23679812"
"241.108108701126","C12H18O5","9747276"
"241.132636612979",NA,"1545042.1"
"241.136462002825",NA,"90108752"
"241.140171811066",NA,"1314644"
"241.144500716867","C13H22O4","1365973"
"242.067003394095","C10H13O6N","3873850.8"
"242.103366902208","C11H17O5N","1323843.9"
"242.139774985264","C12H21O4N","13837389"
"242.176146484794","C13H25O3N","1268822.3"
"242.996875251849","C9H8O6S","1769768.6"
"243.014629673775","C9H8O8","1823789.3"
"243.029868761804","C13H8O5","1481265.1"
"243.033276751001","C10H12O5S","1296946"
"243.051022355256","C10H12O7","20075830"
"243.066250822538","C14H12O4","1690170.6"
"243.087381596419","C11H16O6","19987776"
"243.123762567035","C12H20O5","3018057.5"
"243.133514748991",NA,"32945484"
"244.136867466335",NA,"5068373"
"245.012508342007","C9H10O6S","1569601.8"
"245.03027368747","C9H10O8","2910790.8"
"245.045558737924","C13H10O5","3906890.8"
"245.04891188695","C10H14O5S","2758987.8"
"245.058617390912",NA,"1808718.4"
"245.066684736377","C10H14O7","12326737"
"245.081934244529","C14H14O4","2811220.8"
"245.103064150889","C11H18O6","6979418.5"
"246.040784516619","C12H9O5N","1614942.6"
"247.024801042077","C12H8O6","6246774"
"247.028163069484","C9H12O6S","1413238.8"
"247.037871011016",NA,"2457977.5"
"247.045911448096","C9H12O8","1704315.9"
"247.061201110717","C13H12O5","8148352.5"
"247.074263164443",NA,"2808196"
"247.082336843181","C10H16O7","3443590.3"
"247.097594453292","C14H16O4","4612490.5"
"247.110625955868",NA,"2057870.5"
"247.133967159413","C15H20O3","1532821.1"
"247.301999796685",NA,"1216581.6"
"248.020054744342","C11H7O6N","1743510.5"
"248.056436095518","C12H11O5N","2623137.3"
"249.004063600746","C11H6O7","2661818"
"249.022706565235","C12H10O4S","23825344"
"249.04046751717","C12H10O6","12098501"
"249.043815067316","C9H14O6S","1464773.9"
"249.051666449165","C11H10O5N2","1406920.1"
"249.053522835028",NA,"3469256.8"
"249.076852687644","C13H14O5","10642384"
"249.089887662805",NA,"1614739.6"
"249.113222395913","C14H18O4","5025754.5"
"250.072090034087","C12H13O5N","2831612.8"
"250.981556004188",NA,"15226389"
"251.019733178809","C11H8O7","6021664.5"
"251.032784091187",NA,"1222436.8"
"251.050584900033",NA,"1342250.4"
"251.056098647611","C12H12O6","14415404"
"251.059479260227","C9H16O6S","1348653.1"
"251.067359380422","C11H12O5N2","1803823.5"
"251.069192576234",NA,"2236976"
"251.092506319237","C13H16O5","13252151"
"251.10558622319",NA,"1191867.4"
"251.128903530196","C14H20O4","5466690.5"
"251.981136323598",NA,"1266638"
"252.051361167026","C11H11O6N","3818340.3"
"252.087734846783","C12H15O5N","2379119.8"
"252.978589348877",NA,"4404363.5"
"252.998978540721","C10H6O8","1292690.3"
"253.035398330868","C11H10O7","13047966"
"253.046612223787","C10H10O6N2","1275809.6"
"253.07177564068","C12H14O6","23601322"
"253.082998606432","C11H14O5N2","1976493.3"
"253.08481682656",NA,"1476781.9"
"253.108134502222","C13H18O5","16679093"
"253.144533727518","C14H22O4","3162305"
"254.067022184674","C11H13O6N","5524972"
"255.014629846162","C10H8O8","2963235.8"
"255.05104328059","C11H12O7","27370288"
"255.062246242688","C10H12O6N2","1389619.6"
"255.066312291644","C15H12O4","1612852.9"
"255.087416289284","C12H16O6","36586300"
"255.123777597574","C13H20O5","11428680"
"255.23297053275","C16H32O2","3269996.3"
"256.08268374089","C11H15O6N","4764296"
"256.825981466297",NA,"1207554.9"
"257.012565967452","C10H10O6S","2156482.3"
"257.02221988138",NA,"1272261.5"
"257.030303985754","C10H10O8","10579400"
"257.045559830724","C14H10O5","2191565.5"
"257.048925026251","C11H14O5S","1921230.5"
"257.066676545624","C11H14O7","37299668"
"257.08193107564","C15H14O4","1496025.8"
"257.103052133468","C12H18O6","21902816"
"257.131384889909",NA,"2682090.5"
"257.1394516025","C13H22O5","2330093.3"
"258.06191662378","C10H13O7N","2536745"
"258.098334273139","C11H17O6N","1624629.6"
"258.134712278131","C12H21O5N","1553730.1"
"259.024828090448","C13H8O6","3824758.3"
"259.028206051043","C10H12O6S","2474615.5"
"259.045954685646","C10H12O8","15519870"
"259.061202776841","C14H12O5","4951171"
"259.074265523147",NA,"2282119.5"
"259.082340544151","C11H16O7","18763914"
"259.097586128124","C15H16O4","1876623.6"
"259.110641150729",NA,"1319700.1"
"259.118707168251","C12H20O6","5381271"
"260.056417235064","C13H11O5N","2766815.3"
"260.955982909584",NA,"2958108.8"
"261.004078478419","C12H6O7","2006574"
"261.017102399989",NA,"1349426.6"
"261.040467990784","C13H10O6","10427195"
"261.043859953414","C10H14O6S","2085436.1"
"261.051692846437","C12H10O5N2","1250366.9"
"261.053522594833",NA,"4959039.5"
"261.061588038628","C10H14O8","5765954.5"
"261.076859822572","C14H14O5","8233800"
"261.089931084473",NA,"3101516.5"
"261.098007121326","C11H18O7","3452239.3"
"261.113247736521","C15H18O4","4554068.5"
"261.134364701822","C12H22O6","1370972.3"
"262.035732326912","C12H9O6N","2905757.8"
"262.048754782245",NA,"1347234.5"
"262.07210082377","C13H13O5N","2542250.8"
"262.974791935872",NA,"1705199.5"
"263.019720978381","C12H8O7","7748095.5"
"263.0309695573","C11H8O6N2","1537027.8"
"263.032814750515",NA,"2826756.5"
"263.05057947493",NA,"1350666.9"
"263.056132940273","C13H12O6","14601741"
"263.059500008078","C10H16O6S","1251086.1"
"263.067313756685","C12H12O5N2","1729041"
"263.069156598985",NA,"4760081.5"
"263.092481519202","C14H16O5","9637402"
"263.095853460479","C11H20O5S","2324507.3"
"263.105583831895",NA,"2627102.8"
"263.128907990626","C15H20O4","5744167"
"264.014964409942","C11H7O7N","1229672.5"
"264.051361156532","C12H11O6N","4496246"
"264.087752033814","C13H15O5N","2298755"
"264.959746767691",NA,"1815233.5"
"264.997214091505",NA,"5588175"
"264.998986117747","C11H6O8","2110159.8"
"265.035393776946","C12H10O7","15501533"
"265.038754972587","C9H14O7S","1287902.4"
"265.046622031746","C11H10O6N2","1566945.3"
"265.048434156789",NA,"3844834"
"265.066271737359",NA,"2043112.5"
"265.071785513532","C13H14O6","18854122"
"265.075140024113","C10H18O6S","1352427.8"
"265.082994274181","C12H14O5N2","1571054.6"
"265.084839287954",NA,"3121391.3"
"265.108154498567","C14H18O5","15489272"
"265.121237246142",NA,"1227388.6"
"265.14456916845","C15H22O4","6002949"
"265.147915100731","C12H26O4S","155963648"
"265.152386659082",NA,"2579208"
"266.030626613158","C11H9O7N","3176523"
"266.067036130837","C12H13O6N","4516440.5"
"266.103419629654","C13H17O5N","2391142"
"266.712628305215",NA,"1356039.1"
"266.803909172978",NA,"3043689"
"266.84846880377",NA,"2955129.5"
"266.994271502262","C15H8OS2","1555375.5"
"267.014682894431","C11H8O8","6562743"
"267.051033627254","C12H12O7","25248708"
"267.062294071169","C11H12O6N2","2098632.8"
"267.064129003172",NA,"2129353.5"
"267.087429901814","C13H16O6","32310226"
"267.098645458252","C12H16O5N2","1467862.1"
"267.123804993238","C14H20O5","15487968"
"267.143716278961",NA,"5939175"
"267.160184836228","C15H24O4","3402221"
"268.040846015008",NA,"1392052.6"
"268.046297707053","C11H11O7N","5585206.5"
"268.082659981259","C12H15O6N","4984132"
"268.119051399946","C13H19O5N","1626449.8"
"268.800932281995",NA,"4692560.5"
"268.846469475694",NA,"1828193.5"
"269.012559964333","C11H10O6S","2287519.8"
"269.030320464797","C11H10O8","16283302"
"269.045520154853","C15H10O5","1366188"
"269.048934237329","C12H14O5S","1849005.3"
"269.066680226556","C12H14O7","47142580"
"269.077925907547","C11H14O6N2","2086584.1"
"269.103062655042","C13H18O6","41473728"
"269.131213994224","C14H23O3P","1893324.1"
"269.139465701647","C14H22O5","9499343"
"269.175857882142","C15H26O4","1297628.9"
